id:long,start-node:long,end-node:long,length:double,maximum-speed:int,lanes:int,road-type:string,name:string,surface:string,lit:string
83,20974624,20974625,94.47552104485719,50,2,secondary,Rockwinkeler Heerstraße,,
84,20974624,255188658,135.02571075049298,50,2,secondary,Rockwinkeler Heerstraße,,
85,20974624,267409915,184.8136030376899,50,1,residential,Rütenhöfe,,
86,20974625,3653502590,116.30051260068473,50,2,secondary,Rockwinkeler Heerstraße,,
87,20974625,20974624,94.47552104485717,50,2,secondary,Rockwinkeler Heerstraße,,
88,20974625,2523648819,410.200707358512,30,1,residential,Landgutweg,,
89,20974628,259408313,93.89868968183005,50,2,secondary,Rockwinkeler Heerstraße,,
90,20974628,262766544,223.01266283629735,50,2,secondary,Rockwinkeler Heerstraße,,
91,20974628,301834017,72.2726201136913,30,1,residential,Am Kastanienhof,,
92,20974632,300541269,163.03680850535557,50,1,residential,Rilkeweg,,
93,20974632,262766210,257.0977032500913,50,2,secondary,Rockwinkeler Heerstraße,,
94,20974632,262766544,175.33325933506188,50,2,secondary,Rockwinkeler Heerstraße,,
95,20974643,3465607544,240.84641692695118,50,2,tertiary,Rockwinkeler Heerstraße,,
96,20974643,299583474,686.4238922525055,50,2,tertiary,Mühlenfeldstraße,,
97,20974643,20974644,140.7806710987113,30,1,tertiary,Rockwinkeler Heerstraße,,
98,20974644,300996383,80.79393466982899,30,1,unclassified,Oberneulander Landstraße,,
99,20974644,20974643,140.7806710987113,30,1,tertiary,Rockwinkeler Heerstraße,,
100,20974644,300996453,54.019879211380854,50,1,tertiary,Oberneulander Landstraße,,
101,20974686,21108150,299.70063362587047,30,1,residential,Luisental,,
102,20974686,778301185,752.2080452250557,50,2,residential,Berckstraße,,
103,20974686,21384805,48.53796684301822,30,1,residential,Luisental,,
104,20974687,21384805,185.20054862827084,30,1,residential,Luisental,,
105,20974700,21069511,17.760913302176913,30,1,residential,Schorf,,
106,20974701,20974704,231.84841020623813,30,1,residential,Schönauenstraße,,
107,20974701,30963806,299.7613598106967,30,1,residential,Schorf,,
108,20974701,21069511,106.06910701902099,30,1,residential,Schorf,,
109,20974704,20974701,231.84841020623813,30,1,residential,Schönauenstraße,,
110,20974704,20974718,112.20713278295872,50,2,secondary,Leher Heerstraße,,
111,20974704,259456928,62.933479493752145,50,2,secondary,Leher Heerstraße,,
112,20974707,20974718,80.21379113382963,50,1,residential,Sine-Wessels-Straße,,
113,20974715,30963806,160.8338428051974,30,1,residential,Schorf,,
114,20974715,20974718,150.78245217158232,50,2,secondary,Leher Heerstraße,,
115,20974715,255188547,164.52255949461494,50,2,secondary,Leher Heerstraße,,
116,20974718,20974707,80.21379113382962,50,1,residential,Sine-Wessels-Straße,,
117,20974718,29984564,206.36998069199123,30,1,residential,Nernststraße,,
118,20974718,20974715,150.78245217158235,50,2,secondary,Leher Heerstraße,,
119,20974718,20974704,112.20713278295875,50,2,secondary,Leher Heerstraße,,
120,20974731,20973872,237.65877568667742,30,1,residential,Riekestraße,,
121,20974731,20974731,54.29967868397776,30,1,residential,Riekestraße,,
122,20974906,20973870,15.91893144111638,30,1,residential,Riensberger Straße,,
123,20974906,1903280620,315.2201770437416,30,1,residential,Elsa-Brändström-Straße,,
124,20974906,20980388,98.06610973818108,30,1,residential,Riensberger Straße,,
125,20974908,20974908,51.08801212503271,30,1,residential,Kohlmannstraße,,
126,20974908,20973870,127.17675477637215,30,1,residential,Kohlmannstraße,,
127,20980322,21261624,100.5077686176524,30,1,residential,Emmastraße,,
128,20980322,21063438,9.273144128114659,30,1,residential,Emmastraße,,
129,20980322,21096135,249.42313337303443,30,1,residential,Reinthalerstraße,,
130,20980325,26242924,184.2614278910221,50,2,secondary,Schwachhauser Heerstraße,,
131,20980325,21063438,122.97336699654561,30,1,residential,Emmastraße,,
132,20980326,21261679,266.397277717024,30,1,residential,Prager Straße,,
133,20980326,21063414,16.512858858848553,50,1,secondary_link,,,
134,20980326,21261680,111.87891061235169,50,1,secondary,Schwachhauser Heerstraße,,
135,20980329,20992566,127.8398883627315,30,1,residential,Riensberger Straße,,
136,20980329,21063414,66.50447960229162,30,1,residential,Friedhofstraße,,
137,20980329,20980330,137.37435630695586,30,1,residential,Friedhofstraße,,
138,20980330,2400616696,121.59707863053032,10,1,residential,Ortfeldstraße,,
139,20980330,20980335,214.19605811443589,30,1,residential,Friedhofstraße,,
140,20980330,20980329,137.37435630695586,30,1,residential,Friedhofstraße,,
141,20980335,20980341,258.48124369939404,30,1,residential,Heinstraße,,
142,20980335,20980355,635.480960960954,30,1,residential,Hornstückenweg,,
143,20980335,20980330,214.19605811443586,30,1,residential,Friedhofstraße,,
144,20980341,20980398,55.80628805570292,30,1,residential,Melchersstraße,,
145,20980341,20980347,196.8299482243348,30,1,residential,Heinstraße,,
146,20980347,20980348,54.483189031684255,30,1,residential,Heinstraße,,
147,20980347,20994026,260.626178406166,30,1,residential,Depkenstraße,,
148,20980347,20980341,196.8299482243348,30,1,residential,Heinstraße,,
149,20980348,20980347,54.483189031684255,30,1,residential,Heinstraße,,
150,20980348,21095918,46.729786632029935,30,1,residential,H.-H.-Meier-Allee,,
151,20980348,21095915,152.16667576377483,50,1,residential,H.-H.-Meier-Allee,,
152,20980355,20980335,635.4809609609539,30,1,residential,Hornstückenweg,,
153,20980385,21063409,260.70358946850166,30,1,residential,Unter den Eichen,,
154,20980385,20980388,220.21428077188793,30,1,residential,Riensberger Straße,,
155,20980385,20992566,414.38290336425655,30,1,residential,Riensberger Straße,,
156,20980388,2850608028,150.96057756492334,30,1,residential,Heymelstraße,,
157,20980388,20974906,98.06610973818108,30,1,residential,Riensberger Straße,,
158,20980388,20980385,220.21428077188796,30,1,residential,Riensberger Straße,,
159,20980398,20980341,55.80628805570292,30,1,residential,Melchersstraße,,
160,20980398,20994026,42.67796122857143,30,1,residential,Melchersstraße,,
161,20980398,2141387161,214.82479968031313,30,1,residential,Freudenbergstraße,,
162,20980428,20980429,18.21542490496509,50,1,unclassified,Hildegard-von-Bingen-Straße,,
163,20980428,177189991,92.61898969346079,50,1,unclassified,Otto-Hahn-Allee,,
164,20980428,20980448,398.31941768353477,50,1,unclassified,Hildegard-von-Bingen-Straße,,
165,20980429,20980428,18.21542490496509,50,1,unclassified,Hildegard-von-Bingen-Straße,,
166,20980429,262898478,100.5082524560877,50,1,unclassified,Barbara-McClintock-Straße,,
167,20980429,20980438,150.12164116892157,50,1,unclassified,Otto-Hahn-Allee,,
168,20980433,20980438,18.223601017928896,50,1,unclassified,Konrad-Zuse-Straße,,
169,20980433,20980428,150.63097031218277,50,1,unclassified,Otto-Hahn-Allee,,
170,20980433,20980448,507.47479279868213,50,2,unclassified,Lise-Meitner-Straße,,
171,20980438,20980433,18.223601017928896,50,1,unclassified,Konrad-Zuse-Straße,,
172,20980438,20980433,137.2373023154678,50,1,unclassified,Otto-Hahn-Allee,,
173,20980448,3239236252,137.43182290898108,50,1,unclassified,Manfred-Fuchs-Platz,,
174,20980448,20980428,398.31941768353477,50,1,unclassified,Hildegard-von-Bingen-Straße,,
175,20980448,20980455,189.92306379934178,50,2,unclassified,Lise-Meitner-Straße,,
176,20980448,20980433,507.47479279868213,50,2,unclassified,Lise-Meitner-Straße,,
177,20980455,20980462,40.408034760707146,50,1,unclassified,Lise-Meitner-Straße,,
178,20980455,20980448,189.92306379934178,50,2,unclassified,Lise-Meitner-Straße,,
179,20980458,26574609,14.79780113585391,50,2,primary,Universitätsallee,,
180,20980459,25350583,13.982615999247527,50,1,residential,Bibliothekstraße,,
181,20980459,177189991,108.55673752374861,50,2,unclassified,Otto-Hahn-Allee,,
182,20980459,20980458,161.80895949687456,50,2,primary,Universitätsallee,,
183,20980461,20980466,169.1775683149244,50,2,tertiary,Universitätsallee,,
184,20980461,25350580,79.40576204945987,50,1,tertiary,Universitätsallee,,
185,20980462,25350580,12.902134417708385,50,2,primary,Autobahnzubringer Universität,,
186,20980462,20980461,82.31506555274414,50,1,tertiary,Universitätsallee,,
187,20980466,21523095,215.79622919244616,50,1,unclassified,Caroline-Herschel-Straße,,
188,20980466,20980461,169.1775683149244,50,2,tertiary,Universitätsallee,,
189,20980466,25745929,397.33431756395765,50,2,tertiary,Universitätsallee,,
190,20980466,21523092,120.22042585921157,50,1,residential,Kremser Straße,,
191,20980472,1010791484,159.19150725218495,50,2,unclassified,Bibliothekstraße,,
192,20980484,20980493,218.4473985294715,50,1,unclassified,Robert-Hooke-Straße,,
193,20980484,20980485,19.694914613136575,50,1,unclassified,Robert-Hooke-Straße,,
194,20980485,20980487,208.98632632656955,50,1,unclassified,Am Biologischen Garten,,
195,20980485,20980484,19.694914613136575,50,1,unclassified,Robert-Hooke-Straße,,
196,20980485,2963452845,111.16366504830027,50,1,unclassified,Robert-Hooke-Straße,,
197,20980487,20980488,460.4122835310362,50,1,unclassified,Klagenfurter Straße,,
198,20980487,20980488,16.628726379922394,50,2,tertiary,Hochschulring,,
199,20980487,1973966340,191.59749393480269,50,2,tertiary,Hochschulring,,
200,20980488,20980484,209.1250155063466,50,1,unclassified,Am Biologischen Garten,,
201,20980488,20980487,16.62872637992239,50,2,tertiary,Hochschulring,,
202,20980488,20980492,215.503960762879,50,2,tertiary,Hochschulring,,
203,20980492,1981972517,9.45161188388693,50,2,tertiary,Hochschulring,,
204,20980492,20980488,215.50396076287902,50,2,tertiary,Hochschulring,,
205,20980492,1324645105,38.61115305049728,50,1,residential,Badgasteiner Straße,,
206,20980493,20980494,89.85226102532138,50,1,residential,Am Fallturm,,
207,20980493,1981972564,178.94742837416663,50,1,residential,Am Fallturm,,
208,20980493,1835386538,172.749247278295,50,1,unclassified,Robert-Hooke-Straße,,
209,20980493,20980484,218.44739852947149,50,1,unclassified,Robert-Hooke-Straße,,
210,20980494,20980493,89.85226102532138,50,1,residential,Am Fallturm,,
211,20980506,599847783,47.5451046396327,50,1,unclassified,Enrique-Schmidt-Straße,,
212,20980506,300077172,43.13416787993512,50,1,unclassified,Enrique-Schmidt-Straße,,
213,20980506,20980507,66.13737091665789,50,1,unclassified,Enrique-Schmidt-Straße,,
214,20980507,300077172,18.49253672997551,50,2,unclassified,Enrique-Schmidt-Straße,,
215,20980507,3131006163,117.24717039454808,50,2,unclassified,Enrique-Schmidt-Straße,,
216,20980507,20980506,66.13737091665789,50,1,unclassified,Enrique-Schmidt-Straße,,
217,20980511,20980458,12.655895957334247,50,2,unclassified,Enrique-Schmidt-Straße,,
218,20980511,25350583,157.55307034630613,50,2,primary,Universitätsallee,,
219,20980529,3131006163,47.58441491575028,50,2,unclassified,Enrique-Schmidt-Straße,,
220,20980529,20980511,59.23772482190116,50,2,unclassified,Enrique-Schmidt-Straße,,
221,20992558,20997187,159.90440174701936,30,1,residential,Auf den Hornstücken,,
222,20992558,20992558,45.847735409194655,30,1,residential,Auf den Hornstücken,,
223,20992558,20992558,45.84773540919466,30,1,residential,Auf den Hornstücken,,
224,20992566,21063413,85.60668237431348,30,1,residential,Emanuelstraße,,
225,20992566,20980385,414.3829033642565,30,1,residential,Riensberger Straße,,
226,20992566,20980329,127.8398883627315,30,1,residential,Riensberger Straße,,
227,20992593,20973858,240.23924630211178,50,2,tertiary,Riensberger Straße,,
228,20992593,20997187,119.53511984601263,30,1,residential,Riensberger Straße,,
229,20992593,21069583,353.86568684642776,50,2,tertiary,Achterstraße,,
230,20992601,20992609,221.93738145738365,30,1,residential,Scharnhorststraße,,
231,20992601,21063409,20.9287883593323,32,1,residential,Unter den Eichen,,
232,20992601,26242953,537.8923310277622,50,2,secondary,Schwachhauser Heerstraße,,
233,20992609,26608201,309.3030489751668,30,1,residential,Heinrich-Heine-Straße,,
234,20992609,20992601,221.93738145738365,30,1,residential,Scharnhorststraße,,
235,20992609,20992610,86.26296153710076,30,1,residential,Scharnhorststraße,,
236,20992609,21261689,163.5418106636548,30,1,residential,Heinrich-Heine-Straße,,
237,20992610,26608236,72.61845669098757,30,1,residential,Scharnhorststraße,,
238,20992610,20992609,86.26296153710076,30,1,residential,Scharnhorststraße,,
239,20992611,21261679,57.631140043117725,30,1,residential,Scharnhorststraße,,
240,20992611,21261665,134.35728159237524,30,1,residential,Scharnhorststraße,,
241,20992611,21261666,306.66166943035876,30,1,residential,Richard-Dehmel-Straße,,
242,20992611,26668457,300.74331810942533,30,1,residential,Richard-Dehmel-Straße,,
243,20992613,21261665,222.06660574209366,30,1,residential,Scharnhorststraße,,
244,20992613,20974098,290.70374079119165,30,1,residential,Buchenstraße,,
245,20992613,20992614,21.62647811684105,30,1,residential,Scharnhorststraße,,
246,20992614,26668423,39.85546795360254,30,1,residential,Bordenauer Straße,,
247,20992614,20992613,21.62647811684105,30,1,residential,Scharnhorststraße,,
248,20992614,20992616,195.56413639767146,30,1,residential,Scharnhorststraße,,
249,20992616,20992618,235.61167013937046,50,2,secondary,Kirchbachstraße,,
250,20992616,20992614,195.56413639767143,30,1,residential,Scharnhorststraße,,
251,20992618,20974096,98.13509660150311,50,1,secondary,Kirchbachstraße,,
252,20992618,26242923,84.59534688307043,50,2,secondary,Kirchbachstraße,,
253,20994026,20980398,42.67796122857143,30,1,residential,Melchersstraße,,
254,20994026,21096145,71.9743028540823,30,1,residential,Melchersstraße,,
255,20994026,20980347,260.626178406166,30,1,residential,Depkenstraße,,
256,20995636,26572657,170.5387203779258,50,2,tertiary,Hochschulring,,
257,20995636,21523174,2213.9348850104748,30,1,unclassified,Kuhgrabenweg,,
258,20995636,1984331741,1301.8668206253722,50,2,tertiary,Hochschulring,,
259,20995700,25350591,12.911163083416934,32,1,residential,Achterstraße,,
260,20995700,20995706,201.5771176432958,50,2,primary,Universitätsallee,,
261,20995706,25350588,12.21348773679535,50,1,residential,Wiener Straße,,
262,20995706,20980459,345.6142807501546,50,2,primary,Universitätsallee,,
263,20997187,20992593,119.53511984601263,30,1,residential,Riensberger Straße,,
264,20997187,20973872,82.32534618136478,30,1,residential,Riensberger Straße,,
265,20997187,20992558,159.9044017470194,30,1,residential,Auf den Hornstücken,,
266,21026339,20973907,14.669479087266716,50,2,primary,Autobahnzubringer Horn-Lehe,,
267,21026339,39032002,783.1137565776439,50,2,secondary,Lilienthaler Heerstraße,,
268,21030845,21030846,14.495215749337866,30,1,unclassified,Hohentorsheerstraße,,
269,21030845,30210497,78.9999054620951,30,2,unclassified,Hohentorsheerstraße,,
270,21030846,30210496,60.38345038882833,30,1,residential,Pappelstraße,,
271,21030846,21030847,13.75812767712407,30,1,unclassified,Hohentorsheerstraße,,
272,21030847,1944569472,13.115684161832062,30,1,unclassified,Hohentorsheerstraße,,
273,21030847,30210492,200.70278794732718,30,2,unclassified,Hohentorsheerstraße,,
274,21030850,30210502,12.91973510356515,30,1,residential,Pappelstraße,,
275,21030850,1944569472,64.19273419786221,30,1,residential,Pappelstraße,,
276,21030850,30210493,207.4274488566428,30,1,residential,Elbstraße,,
277,21030851,21030865,171.02168729865278,50,2,secondary,Langemarckstraße,,
278,21030851,30120478,66.68064827164595,30,1,unclassified,Pappelstraße,,
279,21030851,25734017,208.71250131732597,50,2,secondary,Langemarckstraße,,
280,21030851,30210519,59.68220943264833,30,1,residential,Pappelstraße,,
281,21030852,30210496,49.235359657492936,30,1,residential,Pappelstraße,,
282,21030852,30210491,254.17995155059742,30,1,residential,Neckarstraße,,
283,21030854,30210488,92.21690826774557,30,1,residential,Woltmershauser Allee,,
284,21030854,30210489,131.5218297602874,30,1,residential,Neckarstraße,,
285,21030857,30120477,62.16534489295811,30,1,unclassified,Pappelstraße,,
286,21030857,30120478,59.53002236946758,30,1,unclassified,Pappelstraße,,
287,21030857,30120480,209.9248525785174,30,1,residential,Rheinstraße,,
288,21030857,30120465,174.19542343670568,30,1,residential,Rheinstraße,,
289,21030861,25826652,214.77547345624015,30,1,residential,Meyerstraße,,
290,21030861,25793948,87.22532534009235,50,2,tertiary,Gastfeldstraße,,
291,21030861,25790158,192.1980971068609,30,1,tertiary,Meyerstraße,,
292,21030861,25793943,44.882533704532975,50,1,tertiary,Gastfeldstraße,,
293,21030862,25793956,73.20690380969367,50,2,tertiary,Gastfeldstraße,,
294,21030862,25793954,46.599389833030465,50,2,tertiary,Gastfeldstraße,,
295,21030863,1473461036,65.58135214463289,30,1,residential,Gottfried-Menken-Straße,,
296,21030863,25793961,75.98134657383258,50,2,tertiary,Gastfeldstraße,,
297,21030863,25793956,67.87173827849234,50,2,tertiary,Gastfeldstraße,,
298,21030865,21030851,171.02168729865278,50,2,secondary,Langemarckstraße,,
299,21030865,30120464,66.7540828813225,30,1,residential,Lahnstraße,,
300,21030865,30120508,61.00545168183322,50,1,secondary,Langemarckstraße,,
301,21030868,21030869,64.13988046171232,50,3,secondary,Langemarckstraße,,
302,21030869,30011468,144.2047785200119,50,1,secondary,Westerstraße,,
303,21030869,30011274,13.349445161298528,50,1,secondary,Langemarckstraße,,
304,21030870,21530605,174.76431214360875,50,2,secondary,Langemarckstraße,,
305,21030870,251058048,131.67428367029925,30,1,residential,Grünenstraße,,
306,21030886,2379691972,22.363378924401427,50,2,secondary,Bürgermeister-Smidt-Straße,,
307,21030886,1968608935,75.72504228128389,50,3,secondary,Breitenweg,,
308,21050483,26743053,283.29745395395673,50,2,secondary,Horner Heerstraße,,
309,21050483,21050495,19.974518384755868,50,1,secondary,Marcusallee,,
310,21050483,26701286,193.52078845453065,50,2,tertiary,Marcusallee,,
311,21050495,1902206965,41.976353394965415,50,2,secondary,Horner Heerstraße,,
312,21050507,21050511,112.47423221490087,50,2,secondary,Bürgermeister-Spitta-Allee,,
313,21050507,30645723,117.93401529063368,50,1,residential,Im Wiesengrund,,
314,21050511,26608146,602.8186990836053,30,1,residential,Friedrich-Mißler-Straße,,
315,21050511,26668908,143.20136141772915,50,2,secondary,Bürgermeister-Spitta-Allee,,
316,21050512,30654758,87.69748373749013,50,1,residential,Bruno-Tacke-Straße,,
317,21050512,30645966,94.70764207334267,50,2,secondary,Bürgermeister-Spitta-Allee,,
318,21050517,26739935,33.06864732848983,50,2,secondary,Bürgermeister-Spitta-Allee,,
319,21050517,213590668,28.620206953646694,50,1,tertiary_link,,,
320,21050518,21050512,212.2295452418263,50,2,secondary,Bürgermeister-Spitta-Allee,,
321,21050519,393346000,20.731439226399004,50,1,secondary,Bürgermeister-Spitta-Allee,,
322,21050519,21050523,189.88674487428767,50,2,secondary,Bürgermeister-Spitta-Allee,,
323,21050519,269335093,172.39760126150222,30,1,residential,Heinrich-Heine-Straße,,
324,21050520,213590668,71.59722804395355,50,2,secondary,Bürgermeister-Spitta-Allee,,
325,21050520,26739894,79.17364844869647,50,1,tertiary,August-Bebel-Allee,,
326,21050523,21050529,99.68131292591158,50,2,secondary,Bürgermeister-Spitta-Allee,,
327,21050523,21050524,19.5546378373069,50,1,secondary,Bürgermeister-Spitta-Allee,,
328,21050524,26742251,131.9103920759209,50,2,secondary,Bürgermeister-Spitta-Allee,,
329,21050524,21050523,19.5546378373069,50,1,secondary,Bürgermeister-Spitta-Allee,,
330,21050527,21050528,107.29776550483413,50,1,residential,Papendieckstraße,,
331,21050527,21050524,69.07153927087143,50,2,secondary,Bürgermeister-Spitta-Allee,,
332,21050528,21050527,107.29776550483412,50,1,residential,Papendieckstraße,,
333,21050529,25840526,341.9565869189481,50,2,secondary,Kurfürstenallee,,
334,21050529,21050530,47.28252496648136,50,3,secondary,In der Vahr,,
335,21050530,264742590,134.15452809808616,50,2,secondary,In der Vahr,,
336,21050530,21050531,33.03546136292849,50,2,secondary_link,,,
337,21050531,21050532,47.96947241457335,50,3,secondary,Bürgermeister-Spitta-Allee,,
338,21050531,2212171298,291.9301344758297,50,2,secondary,Richard-Boljahn-Allee,,
339,21050532,21050529,34.455413222363504,50,2,secondary_link,,,
340,21050532,21050527,43.509358968902035,50,2,secondary,Bürgermeister-Spitta-Allee,,
341,21050539,21050541,24.615851196101673,50,2,secondary,In der Vahr,,
342,21050539,26666895,121.53896058855598,50,2,secondary,Julius-Brecht-Allee,,
343,21050540,21050539,22.026145365863407,50,2,tertiary,Kurt-Schumacher-Allee,,
344,21050540,21050531,381.0326977478496,50,2,secondary,In der Vahr,,
345,21050541,21050542,21.51250273050937,50,2,secondary,Julius-Brecht-Allee,,
346,21050541,21050547,274.6358330053981,50,2,secondary,In der Vahr,,
347,21050542,21050540,24.340179598998873,50,2,secondary,In der Vahr,,
348,21050542,199132188,483.9690198287078,50,2,tertiary,Kurt-Schumacher-Allee,,
349,21050547,171212671,16.835576867122523,50,1,residential,Schneverdinger Straße,,
350,21050547,171212744,264.88384214759964,50,2,secondary,Vahrer Straße,,
351,21050547,171212329,73.09184538007875,50,2,residential,Schneverdinger Straße,,
352,21050698,1679655421,204.45353561814332,50,2,trunk,,,
353,21063409,20992601,20.9287883593323,32,1,residential,Unter den Eichen,,
354,21063409,21063413,302.74898451165024,50,1,secondary,Schwachhauser Heerstraße,,
355,21063409,20980385,260.70358946850166,30,1,residential,Unter den Eichen,,
356,21063413,20992566,85.60668237431348,30,1,residential,Emanuelstraße,,
357,21063413,21063414,172.80953962053908,50,1,secondary,Schwachhauser Heerstraße,,
358,21063414,20980326,16.512858858848553,50,1,secondary_link,,,
359,21063414,20980329,66.50447960229161,30,1,residential,Friedhofstraße,,
360,21063414,20980325,422.5931512706062,50,1,secondary,Schwachhauser Heerstraße,,
361,21063426,20974094,18.240009382097607,50,2,secondary,Kirchbachstraße,,
